name,humor ,appropriate,grammar,tweet
worker1,3,2,3,Benedict Cumberbatch got engaged! I hope I get invited to his Cumberbatchelor party.
worker2,4,3,4,Benedict Cumberbatch got engaged! I hope I get invited to his Cumberbatchelor party.
worker3,3,4,3,Benedict Cumberbatch got engaged! I hope I get invited to his Cumberbatchelor party.
worker4,5,5,4,Benedict Cumberbatch got engaged! I hope I get invited to his Cumberbatchelor party.
worker5,1,4,1,Benedict Cumberbatch got engaged! I hope I get invited to his Cumberbatchelor party.
worker1,1,1,3,Family Believes Missing Engineers Body Was Found In San Francisco Bay http://tcrn.ch/1tIweL7 by @sarahbuhr
worker2,2,1,2,Family Believes Missing Engineers Body Was Found In San Francisco Bay http://tcrn.ch/1tIweL7 by @sarahbuhr
worker3,1,2,4,Family Believes Missing Engineers Body Was Found In San Francisco Bay http://tcrn.ch/1tIweL7 by @sarahbuhr
worker4,3,2,3,Family Believes Missing Engineers Body Was Found In San Francisco Bay http://tcrn.ch/1tIweL7 by @sarahbuhr
worker5,1,1,4,Family Believes Missing Engineers Body Was Found In San Francisco Bay http://tcrn.ch/1tIweL7 by @sarahbuhr
